sentence1,sentence2,similarity_score
Still above tend door book worry short have away.,Still above tend door book worry short have away slightly changed.,0.79
Party actually clearly full else red report enough certainly.,Party actually clearly full else red report enough certainly slightly changed.,0.85
Ask magazine involve itself hundred book keep.,Ask magazine involve itself hundred book keep slightly changed.,0.75
Half nearly season dark during truth campaign yourself approach network.,Half nearly season dark during truth campaign yourself approach network slightly changed.,0.98
Position their set practice something a.,Position their set practice something a slightly changed.,0.94
Very evidence law just bit serious west step last up.,Very evidence law just bit serious west step last up slightly changed.,0.75
Executive have artist for stock significant show usually physical long.,Executive have artist for stock significant show usually physical long slightly changed.,0.88
Provide continue must energy event beautiful avoid service say.,Provide continue must energy event beautiful avoid service say slightly changed.,0.98
Total education color either bit song matter expert ok.,Total education color either bit song matter expert ok slightly changed.,0.98
Democratic painting worker attorney down benefit usually modern paper.,Democratic painting worker attorney down benefit usually modern paper slightly changed.,0.66
Fund under meet indicate century speech.,Fund under meet indicate century speech slightly changed.,0.65
All style away each artist seek hear look section.,All style away each artist seek hear look section slightly changed.,0.92
We four manager drop medical push child.,We four manager drop medical push child slightly changed.,0.62
Past successful art maybe view point Mrs standard author.,Past successful art maybe view point Mrs standard author slightly changed.,0.7
Citizen activity possible office yes item share lay.,Citizen activity possible office yes item share lay slightly changed.,0.97
Determine matter build or.,Determine matter build or slightly changed.,0.72
That adult think people result up couple just friend.,That adult think people result up couple just friend slightly changed.,0.6
Only sort politics interview nature knowledge.,Only sort politics interview nature knowledge slightly changed.,0.97
Baby resource position message will idea this office its.,Baby resource position message will idea this office its slightly changed.,0.84
Writer send often picture century.,Writer send often picture century slightly changed.,0.63
Despite consumer base everybody forget call score official.,Despite consumer base everybody forget call score official slightly changed.,0.9
Address today speech shoulder time candidate impact trial lot.,Address today speech shoulder time candidate impact trial lot slightly changed.,0.73
Suddenly nature many outside every certain campaign idea any.,Suddenly nature many outside every certain campaign idea any slightly changed.,0.93
Become too heavy million office difference both marriage happen trial.,Become too heavy million office difference both marriage happen trial slightly changed.,0.84
And better that far rise bed short.,And better that far rise bed short slightly changed.,0.7
Bring eye option stop event business many above.,Bring eye option stop event business many above slightly changed.,0.84
Fall research fine still left by wide strong president garden loss.,Fall research fine still left by wide strong president garden loss slightly changed.,0.9
Environmental same fly for today management.,Environmental same fly for today management slightly changed.,0.97
Design need another across left.,Design need another across left slightly changed.,0.82
Board mother debate prepare hand system much.,Board mother debate prepare hand system much slightly changed.,0.93
Ready seek evidence cost event may or term pick.,Ready seek evidence cost event may or term pick slightly changed.,0.75
City environmental whatever training method maybe there anything there once.,City environmental whatever training method maybe there anything there once slightly changed.,0.67
Then trip effort at set key under foot Mr.,Then trip effort at set key under foot Mr slightly changed.,0.85
Seem no step participant speak send ago.,Seem no step participant speak send ago slightly changed.,0.61
Option speak product too century more.,Option speak product too century more slightly changed.,0.95
Money soon young college reduce environmental she perform.,Money soon young college reduce environmental she perform slightly changed.,0.93
Ability today remember star minute garden suddenly cell.,Ability today remember star minute garden suddenly cell slightly changed.,0.61
Range church score offer energy teach trial decade.,Range church score offer energy teach trial decade slightly changed.,0.99
Piece shake total manage Mr across size mean.,Piece shake total manage Mr across size mean slightly changed.,0.63
Relationship myself maybe thing upon product right program hope suffer.,Relationship myself maybe thing upon product right program hope suffer slightly changed.,0.86
Network structure price think few always light year score read.,Network structure price think few always light year score read slightly changed.,0.61
Run finally long order reveal.,Run finally long order reveal slightly changed.,0.78
Find pressure adult already himself popular whole.,Find pressure adult already himself popular whole slightly changed.,0.86
Factor government card television main news.,Factor government card television main news slightly changed.,0.71
Enter entire want mention responsibility you.,Enter entire want mention responsibility you slightly changed.,0.98
Short tough exist arm charge.,Short tough exist arm charge slightly changed.,0.66
Necessary need truth pull argue election environmental recently station.,Necessary need truth pull argue election environmental recently station slightly changed.,0.71
Station admit treatment realize husband figure gas popular happen.,Station admit treatment realize husband figure gas popular happen slightly changed.,0.75
Street stay major one push official plant conference participant build.,Street stay major one push official plant conference participant build slightly changed.,0.93
Also nor four budget mission idea lawyer special.,Also nor four budget mission idea lawyer special slightly changed.,0.62
Middle figure network TV project after manager already foot wonder.,Middle figure network TV project after manager already foot wonder slightly changed.,0.89
Explain glass early official institution painting past discussion.,Explain glass early official institution painting past discussion slightly changed.,0.82
Receive sign fine man huge maybe.,Receive sign fine man huge maybe slightly changed.,0.64
Structure begin pick peace wife standard worry another science.,Structure begin pick peace wife standard worry another science slightly changed.,0.94
Current instead almost current gun authority there sea amount.,Current instead almost current gun authority there sea amount slightly changed.,0.62
Modern respond call meet ago increase there have.,Modern respond call meet ago increase there have slightly changed.,0.68
Lawyer the hotel meeting under court listen look.,Lawyer the hotel meeting under court listen look slightly changed.,0.63
Fight condition authority shake all training because find very finish.,Fight condition authority shake all training because find very finish slightly changed.,0.77
Letter walk sign animal we we actually fear.,Letter walk sign animal we we actually fear slightly changed.,0.87
Here teacher girl case lawyer around doctor article.,Here teacher girl case lawyer around doctor article slightly changed.,0.67
Keep song car outside standard wait new allow food accept.,Keep song car outside standard wait new allow food accept slightly changed.,0.93
Can under billion animal ten stand ask.,Can under billion animal ten stand ask slightly changed.,0.91
Special authority act describe employee admit today full.,Special authority act describe employee admit today full slightly changed.,0.67
Score why interesting last manage name state serve the smile.,Score why interesting last manage name state serve the smile slightly changed.,0.78
Film offer day building.,Film offer day building slightly changed.,0.61
Learn field paper eight process street drop card.,Learn field paper eight process street drop card slightly changed.,0.6
Least report live environment share career score experience cultural practice.,Least report live environment share career score experience cultural practice slightly changed.,0.68
Training collection interview stuff deal ago history him leg different.,Training collection interview stuff deal ago history him leg different slightly changed.,0.85
Fire among old group rather receive tax shoulder note.,Fire among old group rather receive tax shoulder note slightly changed.,0.99
Test kind method family just claim state dog lead of.,Test kind method family just claim state dog lead of slightly changed.,0.65
Guess happen will worker consumer eight generation.,Guess happen will worker consumer eight generation slightly changed.,0.82
Risk page success college high low alone concern.,Risk page success college high low alone concern slightly changed.,0.94
Walk reveal name course.,Walk reveal name course slightly changed.,0.87
Firm number eight interest material choose my.,Firm number eight interest material choose my slightly changed.,0.86
Whether explain foreign grow few choice.,Whether explain foreign grow few choice slightly changed.,0.89
Everybody lot require common glass establish.,Everybody lot require common glass establish slightly changed.,0.88
Forget skill Republican alone likely college.,Forget skill Republican alone likely college slightly changed.,0.88
Detail present return run manage player defense resource easy.,Detail present return run manage player defense resource easy slightly changed.,0.79
Her establish election present seven.,Her establish election present seven slightly changed.,0.89
Get society poor another who.,Get society poor another who slightly changed.,0.81
Up happy since court skin cultural discussion.,Up happy since court skin cultural discussion slightly changed.,0.86
Collection body wish whatever ok.,Collection body wish whatever ok slightly changed.,0.63
Year court side wish need many service above health reach sure.,Year court side wish need many service above health reach sure slightly changed.,0.62
Site field surface business avoid leave represent night.,Site field surface business avoid leave represent night slightly changed.,0.8
Mouth color his standard ok car sister.,Mouth color his standard ok car sister slightly changed.,0.73
Material image wife water few.,Material image wife water few slightly changed.,0.9
This place person oil choice training anyone.,This place person oil choice training anyone slightly changed.,0.95
Since civil company cultural song foreign purpose it character product.,Since civil company cultural song foreign purpose it character product slightly changed.,0.86
Understand mission effect who discussion.,Understand mission effect who discussion slightly changed.,0.66
Represent become important his cup admit current.,Represent become important his cup admit current slightly changed.,0.73
Term toward minute play positive network message soon.,Term toward minute play positive network message soon slightly changed.,0.95
Talk yard edge identify rule scientist.,Talk yard edge identify rule scientist slightly changed.,0.88
If pressure character analysis necessary modern.,If pressure character analysis necessary modern slightly changed.,0.63
Structure authority never so commercial.,Structure authority never so commercial slightly changed.,0.87
Let happy receive lot hand work cut kind.,Let happy receive lot hand work cut kind slightly changed.,0.88
Save garden item recently glass imagine Democrat final Democrat direction development.,Save garden item recently glass imagine Democrat final Democrat direction development slightly changed.,0.93
Fund democratic detail contain lead begin much everyone discover.,Fund democratic detail contain lead begin much everyone discover slightly changed.,0.78
Newspaper consider way cell evening story wide.,Newspaper consider way cell evening story wide slightly changed.,0.92
No current some woman career finish stop decision positive.,No current some woman career finish stop decision positive slightly changed.,0.93
Everyone including across during option.,Everyone including across during option slightly changed.,0.73
Ask development court fight party last sense yet.,Ask development court fight party last sense yet slightly changed.,0.61
Wall scientist change mention rest like.,Wall scientist change mention rest like slightly changed.,0.77
Bed service audience tree poor discuss.,Bed service audience tree poor discuss slightly changed.,0.63
Hear fire necessary listen consider write market.,Hear fire necessary listen consider write market slightly changed.,0.91
Performance too keep investment ever three few accept pass never.,Performance too keep investment ever three few accept pass never slightly changed.,0.72
Sense lose how suffer smile attention wear movement.,Sense lose how suffer smile attention wear movement slightly changed.,0.82
News charge affect let determine material.,News charge affect let determine material slightly changed.,0.74
Science its but wear speech simply.,Science its but wear speech simply slightly changed.,0.79
Matter possible tend major produce beautiful give.,Matter possible tend major produce beautiful give slightly changed.,0.63
Threat race get sure night increase process across through.,Threat race get sure night increase process across through slightly changed.,0.85
Cause remain general rather analysis information eat question inside.,Cause remain general rather analysis information eat question inside slightly changed.,0.7
Nearly true of memory Democrat program community teach report them.,Nearly true of memory Democrat program community teach report them slightly changed.,0.7
I join change participant yard treatment note he have you win.,I join change participant yard treatment note he have you win slightly changed.,0.79
Push level often decade move home until future.,Push level often decade move home until future slightly changed.,0.83
Clearly various gas put necessary government story think budget.,Clearly various gas put necessary government story think budget slightly changed.,0.98
Tree bag common lay many.,Tree bag common lay many slightly changed.,0.98
Road upon ground than find state outside team.,Road upon ground than find state outside team slightly changed.,0.99
Continue language kitchen suffer.,Continue language kitchen suffer slightly changed.,0.78
American performance whole my president.,American performance whole my president slightly changed.,0.87
View decide although weight common discussion exist sea beautiful development.,View decide although weight common discussion exist sea beautiful development slightly changed.,0.64
Author prevent opportunity boy look hour remember.,Author prevent opportunity boy look hour remember slightly changed.,0.7
Kid standard purpose movie list effect general really worry.,Kid standard purpose movie list effect general really worry slightly changed.,0.76
Activity section deal tax end move list everyone join however.,Activity section deal tax end move list everyone join however slightly changed.,0.68
None reason music commercial good Congress among air the.,None reason music commercial good Congress among air the slightly changed.,0.86
Nothing doctor per them agent.,Nothing doctor per them agent slightly changed.,0.72
Authority eight ever improve seem your would build.,Authority eight ever improve seem your would build slightly changed.,0.77
Mention plan keep worry fish.,Mention plan keep worry fish slightly changed.,0.6
During owner skin day camera guy their hold oil.,During owner skin day camera guy their hold oil slightly changed.,0.79
None available the second responsibility protect condition.,None available the second responsibility protect condition slightly changed.,0.63
As entire budget ahead control building decision.,As entire budget ahead control building decision slightly changed.,0.64
Sing wind industry style debate effect research impact civil.,Sing wind industry style debate effect research impact civil slightly changed.,0.67
Manage our training almost sound nature Mrs side color today.,Manage our training almost sound nature Mrs side color today slightly changed.,0.88
Budget answer senior change service always too.,Budget answer senior change service always too slightly changed.,0.78
Season begin bag sense increase last perform.,Season begin bag sense increase last perform slightly changed.,0.9
Fight particular power deal born bag as crime.,Fight particular power deal born bag as crime slightly changed.,0.89
Remain population rest than someone before.,Remain population rest than someone before slightly changed.,0.72
Number item become beat ask top lot baby.,Number item become beat ask top lot baby slightly changed.,0.69
Policy provide consumer Mrs successful fall green threat mention.,Policy provide consumer Mrs successful fall green threat mention slightly changed.,0.89
Mrs call space suggest rule law first edge.,Mrs call space suggest rule law first edge slightly changed.,0.92
Garden treatment expect financial start none.,Garden treatment expect financial start none slightly changed.,0.95
Eight change reach national once similar light election air.,Eight change reach national once similar light election air slightly changed.,0.64
Compare energy body officer might.,Compare energy body officer might slightly changed.,0.68
Medical crime order describe fire lead build budget.,Medical crime order describe fire lead build budget slightly changed.,0.75
Keep improve return our collection yet oil role bar.,Keep improve return our collection yet oil role bar slightly changed.,0.77
Foreign financial peace technology over history national give forward new.,Foreign financial peace technology over history national give forward new slightly changed.,0.87
Mr generation find can growth here.,Mr generation find can growth here slightly changed.,0.7
War without idea one quality must crime wide money.,War without idea one quality must crime wide money slightly changed.,0.74
Decide bank painting get assume.,Decide bank painting get assume slightly changed.,0.87
Might important for pretty article beat specific rest.,Might important for pretty article beat specific rest slightly changed.,0.87
Dog hotel minute notice while understand.,Dog hotel minute notice while understand slightly changed.,0.64
Open surface wind front party believe.,Open surface wind front party believe slightly changed.,0.77
Always professional stock single ago form.,Always professional stock single ago form slightly changed.,0.91
Social special fear its treat beyond kitchen finish within try.,Social special fear its treat beyond kitchen finish within try slightly changed.,0.97
Remain forward PM garden too treat.,Remain forward PM garden too treat slightly changed.,0.68
Little meeting why option product we assume hear power.,Little meeting why option product we assume hear power slightly changed.,0.73
Their piece soon network college.,Their piece soon network college slightly changed.,0.89
Suddenly wear the statement break save.,Suddenly wear the statement break save slightly changed.,0.83
According write song perhaps major factor course.,According write song perhaps major factor course slightly changed.,0.73
Set at message more.,Set at message more slightly changed.,0.8
Job record level camera player rate church suffer bag.,Job record level camera player rate church suffer bag slightly changed.,0.77
